4    Cliente 4                                         184.182.525-88 20/06/19700007167.96
1    Cliente 1                                         620.563.071-50 15/12/19700001132.75
3    Cliente 3                                         646.229.452-31 25/08/19790000396.93
7    Cliente 7                                         022.534.271-73 25/07/20050008149.43
6    Cliente 6                                         769.421.613-86 21/07/19530001929.66
9    Cliente 9                                         725.459.998-92 22/07/20040001903.52
5    Cliente 5                                         259.980.022-77 30/10/19670005500.27
8    Cliente 8                                         244.828.339-06 09/01/19800006204.80
10   Cliente 10                                        180.565.793-22 29/01/20030003610.53
2    Cliente 2                                         824.465.021-42 29/03/19800008291.64
