2    Funcionario 2                                     965.283.144-25 12/05/19980003021.00
6    Funcionario 6                                     879.414.731-76 05/11/19860003063.00
5    Funcionario 5                                     512.189.220-16 17/06/19650003052.50
4    Funcionario 4                                     041.191.897-41 01/09/19540003042.00
1    Funcionario 1                                     616.008.185-94 03/07/19770003010.50
9    Funcionario 9                                     371.445.883-24 29/12/19640003094.50
10   Funcionario 10                                    527.421.535-47 19/06/19590003105.00
3    Funcionario 3                                     445.033.414-23 08/10/19830003031.50
7    Funcionario 7                                     395.658.564-84 02/07/19890003073.50
8    Funcionario 8                                     454.107.617-71 27/09/19540003084.00
